LocalityID	CollectorName	LastNameGuess	VerbatimCollectors	FieldNo	iYear	VerbatimDate
16168	R.D. Suttkus	Suttkus	R.D. Suttkus & G.E. Gunning	RDS 6156	1976	18/5/1976
16168	G.E. Gunning	Gunning	R.D. Suttkus & G.E. Gunning	RDS 6156	1976	18/5/1976
16169	R.D. Suttkus	Suttkus	R.D. Suttkus & D.C. Heins	RDS 6157	1976	19/5/1976
16169	D.C. Heins	Heins	R.D. Suttkus & D.C. Heins	RDS 6157	1976	19/5/1976
16170	R.D. Suttkus	Suttkus	R.D. Suttkus & D.C. Heins	RDS 6158	1976	19/5/1976
16170	D.C. Heins	Heins	R.D. Suttkus & D.C. Heins	RDS 6158	1976	19/5/1976
16171	R.D. Suttkus	Suttkus	R.D. Suttkus & D.C. Heins	RDS 6159	1976	19/5/1976
16171	D.C. Heins	Heins	R.D. Suttkus & D.C. Heins	RDS 6159	1976	19/5/1976
16172	R.D. Suttkus	Suttkus	R.D. Suttkus & D.C. Heins	RDS 6160	1976	19/5/1976
16172	D.C. Heins	Heins	R.D. Suttkus & D.C. Heins	RDS 6160	1976	19/5/1976
16173	R.D. Suttkus	Suttkus	Suttkus & Clemmer	RDS 6161	1976	30/5/1976
16173	Clemmer	Clemmer	Suttkus & Clemmer	RDS 6161	1976	30/5/1976
16174	J. Hall	Hall	"J. Hall, Suttkus,Clemmer,Williams & Jones"	RDS 6163	1976	2/6/1976
16174	R.D. Suttkus	Suttkus	"J. Hall, Suttkus,Clemmer,Williams & Jones"	RDS 6163	1976	2/6/1976
16174	Clemmer	Clemmer	"J. Hall, Suttkus,Clemmer,Williams & Jones"	RDS 6163	1976	2/6/1976
16174	Williams	Williams	"J. Hall, Suttkus,Clemmer,Williams & Jones"	RDS 6163	1976	2/6/1976
16174	Jones	Jones	"J. Hall, Suttkus,Clemmer,Williams & Jones"	RDS 6163	1976	2/6/1976
16175	R.D. Suttkus	Suttkus	"Suttkus, Clemmer, Williams & Jones"	RDS 6164	1976	2/6/1976
16175	Clemmer	Clemmer	"Suttkus, Clemmer, Williams & Jones"	RDS 6164	1976	2/6/1976
16175	Williams	Williams	"Suttkus, Clemmer, Williams & Jones"	RDS 6164	1976	2/6/1976
