LocalityID	CollectorName	LastNameGuess	VerbatimCollectors	FieldNo	iYear	VerbatimDate
16242	Levine	Levine	"Conner, Heath & Levine"	RDS 6255	1976	1 October 1976
16243	R.D. Suttkus	Suttkus	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6256	1976	2 October 1976
16243	Beckham	Beckham	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6256	1976	2 October 1976
16243	Conner	Conner	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6256	1976	2 October 1976
16243	Heath	Heath	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6256	1976	2 October 1976
16243	Levine	Levine	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6256	1976	2 October 1976
16244	R.D. Suttkus	Suttkus	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6257	1976	2 October 1976
16244	Beckham	Beckham	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6257	1976	2 October 1976
16244	Conner	Conner	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6257	1976	2 October 1976
16244	Heath	Heath	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6257	1976	2 October 1976
16244	Levine	Levine	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6257	1976	2 October 1976
16245	R.D. Suttkus	Suttkus	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6258	1976	2/10/1976
16245	Beckham	Beckham	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6258	1976	2/10/1976
16245	Conner	Conner	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6258	1976	2/10/1976
16245	Heath	Heath	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6258	1976	2/10/1976
16245	Levine	Levine	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6258	1976	2/10/1976
16246	R.D. Suttkus	Suttkus	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6259	1976	2 October 1976
16246	Beckham	Beckham	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6259	1976	2 October 1976
16246	Conner	Conner	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6259	1976	2 October 1976
16246	Heath	Heath	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6259	1976	2 October 1976
